,Smiles,pKa,basicOrAcidic
4,CN(C)c1ccc(N(C)C)cc1,6.35,basic
8,CC(=O)N(C)c1ccccc1,-0.5,basic
28,NCc1ccco1,8.89,basic
29,NCC(F)(F)F,5.7,basic
30,COc1cc(CCN)cc(OC)c1OC,9.56,basic
36,NCCN,9.922,basic
37,NCCCN,10.62,basic
39,NCCCCN,10.8,basic
43,CCCCCCCCCN,10.64,basic
44,CCCCCC(C)N,10.58,basic
45,NCCCCCCN,11.02,basic
49,CC(=O)C1CCC2C3CCC4CC(N)CCC4(C)C3CCC12C,9.18,basic
51,NC1CCCCC1N,10.24,basic
53,NCCc1ccccn1,10.03,basic
54,NCc1ccccn1,9.09,basic
56,CCCCC(C)CN,11.13,basic
79,CCCC1CCCCN1,11.0,basic
80,C1CCC(NC2CCCCC2)CC1,10.4,basic
82,CC1CN1,8.22,basic
83,CC1CNC(C)CN1,9.66,basic
84,CNCCNC,10.16,basic
85,C1CNCCN1,9.731,basic
87,CCNCCNCC,11.06,basic
94,CC(Cc1ccc(C(C)(C)C)cc1)CN1CC(C)OC(C)C1,6.98,basic
98,CN(C)Cc1cccnc1,8.0,basic
100,CN(C)CCc1ccccn1,8.75,basic
101,CN(C)CCc1cccnc1,8.86,basic
105,c1cncc(CCN2CCCC2)c1,9.28,basic
111,CN1CCCC1c1cccnc1,8.18,basic
112,CCN(CCCl)CCCl,6.57,basic
115,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,8.72,basic
116,CC1CCCCN1CCCOC(=O)c1ccc(Cl)c(Cl)c1,8.9,basic
117,Cc1ccccc1C(OCCN(C)C)c1ccccc1,8.91,basic
120,CC(Cc1ccc(C(C)(C)C)cc1)CN1CCCCC1,10.1,basic
124,CN(C)CCC=C1c2ccccc2CCc2ccccc21,9.4,basic
125,CN(C)CCCN1c2ccccc2CCc2ccccc21,9.4,basic
126,CN(CCCl)CCCl,6.43,basic
127,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,8.92,basic
129,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,8.29,basic
132,CN(C)CCN(C)C,9.1,basic
133,C1CN2CCN1CC2,8.82,basic
134,ClCCN(CCCl)CCCl,4.64,basic
135,CCCCN1CC1,7.86,basic
136,CC1CN(C2CCCCCCCCCCC2)CC(C)O1,8.08,basic
137,CCOP(C)(=O)SCCN(C(C)C)C(C)C,9.12,basic
138,CC1(C)CCC(c2ccccc2)(N2CCCCC2)CC1,8.27,basic
140,CCCN(CC)CC1COC2(CCC(C(C)(C)C)CC2)O1,6.9,basic
141,CCCOC1(c2ccccc2)CN(C)CCO1,7.12,basic
142,C=CCOC1(c2ccccc2)CN(C)CCO1,7.09,basic
143,CCOC1(c2ccccc2)OCCN(C)C1C,7.79,basic
144,CCCCOC1(c2ccccc2)CN(C)CCO1,7.73,basic
145,CC(C)COC1(c2ccccc2)CN(C)CCO1,7.14,basic
154,CCOC(=O)c1ccncc1,3.45,basic
155,Brc1ccncc1,3.78,basic
157,Clc1ccncc1,3.84,basic
159,c1cc(-c2ccncc2)ccn1,4.82,basic
168,c1ccc(Cc2ccncc2)cc1,5.59,basic
174,CCCc1ccncc1,6.05,basic
178,CN(C)CCc1cccnc1,4.3,basic
181,CN1CCCC1c1cccnc1,3.1,basic
182,CCN(CC)C(=O)c1cccnc1,3.5,basic
183,c1ccc(-c2cccnc2)cc1,4.8,basic
186,NCc1cccnc1,5.96,basic
187,O=[N+]([O-])c1cccnc1,1.18,basic
190,CN(C)c1ccncc1,10.14,basic
191,NCc1ccncc1,4.39,basic
192,CON=C(Cc1cccnc1)c1ccc(Cl)cc1Cl,4.61,basic
193,CCc1ccc(C)nc1,6.51,basic
194,Cc1cc(C)c(C)nc1C,7.9,basic
199,c1ccc(Cc2ccccn2)cc1,5.13,basic
208,Clc1cccc(Cl)n1,-2.86,basic
209,Clc1nc(Cl)c(Cl)c(Cl)c1Cl,-1.0,basic
210,Clc1cccnc1Cl,-0.85,basic
211,Clc1cc(Cl)c(Cl)nc1Cl,-0.8,basic
212,c1ccc(-c2ccccn2)cc1,4.48,basic
214,c1ccc(-c2ccccn2)nc1,4.33,basic
217,COc1cccc(OC)n1,1.6,basic
223,CC(=NC#N)N(C)Cc1ccc(Cl)nc1,0.7,basic
224,Brc1ncccn1,-1.63,basic
226,CSc1ncccn1,0.59,basic
227,O=[N+]([O-])c1cncnc1,0.72,basic
229,CCOc1ncccn1,1.27,basic
230,Cc1cncnc1,1.91,basic
231,CSc1nc(C)cc(C)n1,2.12,basic
234,Cn1cnc([N+](=O)[O-])c1,-0.53,basic
235,Cn1cncc1[N+](=O)[O-],2.13,basic
237,CCCOCC(=Nc1ccc(Cl)cc1C(F)(F)F)n1ccnc1,3.7,basic
239,CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1,3.8,basic
241,CCC1C(=O)OCC1Cc1cncn1C,6.78,basic
242,C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,6.53,basic
243,c1ccc(CC2=NCCN2)cc1,10.3,basic
244,Cn1ccnc1Br,3.82,basic
245,Cn1ccnc1F,2.3,basic
246,Cn1ccnc1N,8.54,basic
247,Cn1ccnc1[N+](=O)[O-],-0.48,basic
250,COc1ccc2cccnc2c1,5.03,basic
259,Clc1ccc2c(Cl)ccnc2c1,2.8,basic
260,Clc1cccc2cccnc12,3.12,basic
261,Fc1cccc2cccnc12,3.34,basic
262,Clc1ccc2ncccc2c1,3.85,basic
263,Brc1ccc2cccnc2c1,3.87,basic
264,Brc1ccc2ncccc2c1,3.87,basic
268,CCCCCC(C)OC(=O)COc1ccc(Cl)c2cccnc12,3.75,basic
269,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,8.07,basic
